Frame Rate:,20.0000000000
Frame Number,Timecode,content_val,delta_hue,delta_lum,delta_sat
1,00:00:00.050,5.491238317757009,7.251285046728972,1.186068925233645,8.03636098130841
2,00:00:00.100,10.782457165109035,13.279964953271028,2.9029789719626167,16.16442757009346
3,00:00:00.150,23.17255646417446,15.270385514018692,36.03752920560748,18.209754672897198
4,00:00:00.200,4.554380841121495,5.3157418224299064,1.5108644859813085,6.836536214953271
5,00:00:00.250,4.146359034267912,4.836214953271028,1.4301109813084112,6.172751168224299
6,00:00:00.300,4.078835669781932,4.8764602803738315,1.331804906542056,6.028241822429907
7,00:00:00.350,10.177686915887852,7.451547897196262,12.76060163551402,10.320911214953272
8,00:00:00.400,4.560105140186916,5.290478971962616,1.6507009345794392,6.739135514018692
9,00:00:00.450,4.381921728971962,5.176518691588785,1.6,6.369246495327102
10,00:00:00.500,4.811779595015576,5.5434871495327105,1.8131717289719627,7.078679906542056
11,00:00:00.550,9.555919003115266,8.273043224299066,10.41223714953271,9.982476635514018
12,00:00:00.600,6.813639018691589,8.705928738317757,2.5536507009345795,9.18133761682243
13,00:00:00.650,4.716754283489097,6.204264018691589,1.7768983644859813,6.16910046728972
14,00:00:00.700,4.421845794392524,5.651985981308411,1.6875292056074767,5.926022196261682
15,00:00:00.750,7.545327102803738,7.738288551401869,6.814106308411215,8.083586448598131
16,00:00:00.800,4.673627336448598,5.567231308411215,1.933089953271028,6.520560747663551
17,00:00:00.850,4.50801207165109,5.342260514018691,1.908411214953271,6.2733644859813085
18,00:00:00.900,4.459170560747664,5.330344626168224,1.8805782710280374,6.166588785046729
19,00:00:00.950,5.940975467289721,6.586068925233645,3.7530081775700936,7.483849299065421
20,00:00:01.000,4.810124610591901,5.708060747663551,2.1532418224299064,6.569071261682243
21,00:00:01.050,4.876538161993769,5.63358644859813,2.228855140186916,6.767172897196262
22,00:00:01.100,5.01791277258567,5.82821261682243,2.3332943925233645,6.892231308411215
23,00:00:01.150,7.3277161214953255,7.934491822429907,5.3289427570093455,8.719713785046729
24,00:00:01.200,6.663502725856698,7.887967289719626,2.947546728971963,9.154994158878505
25,00:00:01.250,5.2797897196261685,5.999707943925234,2.4607768691588787,7.3788843457943925
26,00:00:01.300,5.0213006230529595,5.69357476635514,2.3298481308411216,7.040478971962616
27,00:00:01.350,5.9814154984423675,6.611565420560748,3.7240654205607475,7.608615654205607
28,00:00:01.400,4.881619937694704,5.659375,2.2561915887850468,6.729293224299066
29,00:00:01.450,4.752735591900311,5.490858644859813,2.1719042056074764,6.595443925233645
30,00:00:01.500,4.726878894080997,5.45061331775701,2.1841705607476634,6.545852803738318
31,00:00:01.550,4.88107476635514,5.826431074766355,2.182885514018692,6.633907710280374
32,00:00:01.600,4.719227024922119,5.50616238317757,2.151839953271028,6.499678738317757
33,00:00:01.650,4.773247663551403,5.677248831775701,2.1332359813084114,6.509258177570094
34,00:00:01.700,4.8959988317757,5.694859813084112,2.2302570093457943,6.7628796728971965
35,00:00:01.750,5.188220404984424,5.9529497663551405,2.5848130841121497,7.026898364485981
36,00:00:01.800,7.133771417445483,8.031571261682243,3.676664719626168,9.693078271028037
37,00:00:01.850,6.6220307632398745,7.052891355140187,3.7631717289719626,9.050029205607476
38,00:00:01.900,7.108683800623052,7.564953271028037,4.367026869158878,9.394071261682242
39,00:00:01.950,7.72992601246106,8.069158878504673,4.943896028037384,10.176723130841122
40,00:00:02.000,8.613434579439254,9.11988901869159,5.392406542056075,11.328008177570094
41,00:00:02.050,9.275730140186917,9.40493574766355,5.880023364485981,12.542231308411216
42,00:00:02.100,9.869655373831776,9.871466121495327,6.328504672897196,13.408995327102804
43,00:00:02.150,10.20329049844237,10.139047897196262,6.396115654205608,14.074707943925233
44,00:00:02.200,10.066939252336448,9.741471962616822,6.277102803738318,14.182242990654206
45,00:00:02.250,10.110036993769471,9.184579439252337,6.4666471962616825,14.678884345794392
46,00:00:02.300,10.14757593457944,9.009258177570093,6.660338785046729,14.773130841121496
47,00:00:02.350,10.296096183800623,9.11883761682243,6.710981308411215,15.058469626168224
48,00:00:02.400,10.758878504672898,9.528241822429907,7.039281542056075,15.70911214953271
49,00:00:02.450,10.154341900311527,8.661214953271028,7.039398364485981,14.76241238317757
50,00:00:02.500,9.968808411214953,8.609783878504674,6.95286214953271,14.343779205607477
51,00:00:02.550,9.566277258566979,8.433761682242991,6.647605140186916,13.617464953271028
52,00:00:02.600,9.58301207165109,8.38358644859813,6.74053738317757,13.62491238317757
53,00:00:02.650,9.533966121495327,8.371875,6.824707943925234,13.405315420560747
54,00:00:02.700,9.135017523364487,8.176869158878505,6.646495327102803,12.58168808411215
55,00:00:02.750,8.299678738317757,7.47543808411215,5.964164719626168,11.459433411214953
56,00:00:02.800,8.039291277258567,7.65338785046729,5.428008177570093,11.036477803738318
57,00:00:02.850,7.649542445482866,7.290391355140187,5.065625,10.592610981308411
58,00:00:02.900,7.351197429906542,7.113639018691589,4.717202102803738,10.222751168224299
59,00:00:02.950,6.990693146417446,6.812353971962617,4.432710280373832,9.727015186915889
60,00:00:03.000,7.590060358255452,7.482768691588785,4.727015186915888,10.560397196261682
61,00:00:03.050,6.406415498442367,6.349883177570093,4.009345794392523,8.860017523364485
62,00:00:03.100,5.503056853582554,5.59027453271028,3.2535922897196263,7.665303738317757
63,00:00:03.150,4.7660241433021815,4.88785046728972,2.619947429906542,6.7902745327102805
64,00:00:03.200,4.502540887850468,4.852044392523364,2.2545852803738318,6.400992990654205
65,00:00:03.250,4.267844626168224,4.649737149532711,2.0947429906542054,6.059053738317757
66,00:00:03.300,4.118165887850467,4.529731308411215,1.9333528037383179,5.891413551401869
67,00:00:03.350,3.9821845794392523,4.505110981308412,1.7561915887850468,5.685251168224299
68,00:00:03.400,4.141559579439252,4.660338785046729,1.923714953271028,5.840625
69,00:00:03.450,4.278154205607477,4.852891355140187,2.1763142523364487,5.8052570093457945
70,00:00:03.500,4.715625,5.0620327102803735,2.6646320093457945,6.420210280373832
71,00:00:03.550,5.177229361370717,5.399766355140187,3.2301109813084112,6.901810747663552
72,00:00:03.600,6.646758177570093,6.874299065420561,4.017348130841121,9.048627336448599
73,00:00:03.650,5.451908099688474,5.700642523364486,3.273452102803738,7.381629672897196
74,00:00:03.700,5.1044100467289715,5.342494158878504,3.0519567757009347,6.918779205607477
75,00:00:03.750,5.082671339563864,5.159082943925234,3.001460280373832,7.087470794392523
76,00:00:03.800,4.875827492211838,4.973890186915888,2.818896028037383,6.834696261682243
77,00:00:03.850,4.724727414330218,4.857943925233645,2.639982476635514,6.676255841121495
78,00:00:03.900,4.587850467289719,4.739164719626168,2.602511682242991,6.421875
79,00:00:03.950,4.555753504672897,4.887616822429907,2.474328271028037,6.305315420560747
80,00:00:04.000,4.314661214953271,4.572429906542056,2.2461156542056075,6.125438084112149
81,00:00:04.050,4.321952881619938,4.75286214953271,2.1378504672897196,6.075146028037383
82,00:00:04.100,3.652570093457944,3.619304906542056,2.3036507009345795,5.034754672897196
83,00:00:04.150,4.914797507788162,4.7654497663551405,4.009929906542056,5.96901285046729
84,00:00:04.200,5.042503894080998,5.620560747663552,2.6354556074766355,6.871495327102804
85,00:00:04.250,3.51756230529595,3.3135514018691588,2.3364193925233643,4.902716121495327
86,00:00:04.300,2.8686721183800628,2.6611273364485983,2.0314836448598133,3.913405373831776
87,00:00:04.350,3.440235591900312,3.2190420560747666,2.462646028037383,4.639018691588785
88,00:00:04.400,3.810173286604361,3.577307242990654,2.872108644859813,4.981103971962617
89,00:00:04.450,3.5267231308411215,3.411039719626168,2.7908878504672896,4.3782418224299064
90,00:00:04.500,4.182106697819314,4.13358644859813,3.2768691588785046,5.135864485981308
91,00:00:04.550,4.318224299065421,4.420706775700935,3.2611857476635513,5.272780373831775
92,00:00:04.600,4.416793224299066,4.328358644859813,3.8772780373831774,5.044742990654205
93,00:00:04.650,4.966209112149532,4.473364485981309,4.283936915887851,6.141325934579439
94,00:00:04.700,4.414953271028037,3.9491530373831774,3.8263142523364486,5.469392523364486
95,00:00:04.750,3.978553348909658,3.4229556074766356,3.2588785046728974,5.25382593457944
96,00:00:04.800,5.6099007009345785,5.495151869158878,3.9166764018691587,7.417873831775701
97,00:00:04.850,4.08006230529595,3.4580023364485983,3.505782710280374,5.276401869158878
98,00:00:04.900,4.581065031152648,3.7880257009345795,4.159228971962617,5.795940420560748
99,00:00:04.950,5.176956775700934,4.31918808411215,4.5032418224299064,6.7084404205607475
100,00:00:05.000,4.6261779595015575,3.517464953271028,4.392026869158879,5.969042056074766
101,00:00:05.050,4.638278816199377,3.5199766355140185,4.2208528037383175,6.174007009345795
102,00:00:05.100,4.172069704049845,3.4179030373831774,3.414193925233645,5.6841121495327105
103,00:00:05.150,3.2144080996884736,2.70625,2.4425817757009347,4.494392523364486
104,00:00:05.200,3.630169392523365,3.238551401869159,2.4954731308411215,5.156483644859813
105,00:00:05.250,3.7245132398753893,3.225934579439252,2.6907710280373833,5.256834112149533
106,00:00:05.300,3.825535436137072,3.5157418224299066,2.8385806074766355,5.122283878504673
107,00:00:05.350,3.937772585669782,3.618603971962617,2.8710864485981307,5.323627336448598
108,00:00:05.400,5.200759345794393,5.640625,3.0632593457943926,6.898393691588785
109,00:00:05.450,3.75981308411215,3.664515186915888,2.80633761682243,4.808586448598131
110,00:00:05.500,3.663551401869159,3.492172897196262,2.694071261682243,4.804410046728972
111,00:00:05.550,3.1325058411214948,2.9192172897196262,2.436565420560748,4.041734813084112
112,00:00:05.600,3.0397585669781932,2.958732476635514,2.1453855140186917,4.0151577102803735
113,00:00:05.650,3.39348714953271,3.2355432242990654,2.386214953271028,4.558703271028038
114,00:00:05.700,3.251547897196262,2.961857476635514,2.4779205607476635,4.314865654205607
115,00:00:05.750,3.301596573208723,3.0366530373831777,2.3460864485981308,4.52205023364486
116,00:00:05.800,3.2180880062305293,3.110806074766355,2.205928738317757,4.337529205607477
117,00:00:05.850,3.299474299065421,3.0585864485981307,2.4697429906542054,4.370093457943925
118,00:00:05.900,3.4460280373831775,3.128767523364486,2.5272196261682245,4.682096962616822
119,00:00:05.950,3.1594918224299064,2.824678738317757,2.2719042056074765,4.381892523364486
120,00:00:06.000,5.08723714953271,5.593866822429907,2.8285630841121496,6.839281542056074
121,00:00:06.050,3.588785046728972,3.5498539719626168,2.398101635514019,4.818399532710281
122,00:00:06.100,3.3048676012461065,2.9887266355140185,2.5257593457943925,4.400116822429907
123,00:00:06.150,3.65061331775701,3.3872371495327105,2.7051109813084113,4.859491822429907
124,00:00:06.200,4.081327881619938,3.836536214953271,3.1252920560747666,5.282155373831776
125,00:00:06.250,4.338395638629283,4.0715245327102805,3.3602511682242993,5.583411214953271
126,00:00:06.300,4.71197429906542,4.54375,3.6851343457943924,5.907038551401869
127,00:00:06.350,4.657019080996885,4.473306074766355,3.7553154205607475,5.742435747663551
128,00:00:06.400,4.460913161993769,4.342318925233645,3.588288551401869,5.452132009345794
129,00:00:06.450,4.535455607476636,4.512967289719626,3.5150408878504673,5.578358644859813
130,00:00:06.500,3.9389505451713394,3.8862441588785046,2.9733352803738318,4.957272196261682
131,00:00:06.550,3.6563765576323988,3.589894859813084,2.5697429906542055,4.809491822429907
132,00:00:06.600,6.033897975077882,6.3970794392523365,3.552570093457944,8.152044392523365
133,00:00:06.650,4.971475856697819,4.768545560747664,3.7198306074766356,6.426051401869159
134,00:00:06.700,5.282943925233645,4.997196261682243,4.276460280373832,6.57517523364486
135,00:00:06.750,5.833537772585671,5.785718457943926,4.450905373831776,7.263989485981308
136,00:00:06.800,6.348685747663551,5.935338785046729,6.011244158878505,7.09947429906542
137,00:00:06.850,5.7764310747663545,5.09018691588785,6.0995619158878505,6.139544392523365
138,00:00:06.900,4.968905763239875,4.6678446261682245,5.3283002336448595,4.910572429906542
139,00:00:06.950,3.7691783489096573,3.7656542056074764,3.143049065420561,4.398831775700935
140,00:00:07.000,3.108420950155763,2.941325934579439,2.0419684579439252,4.341968457943925
141,00:00:07.050,2.730052570093458,2.7012558411214953,1.8919684579439253,3.596933411214953
142,00:00:07.100,2.813785046728972,2.731483644859813,1.9176693925233645,3.7922021028037385
143,00:00:07.150,2.699776090342679,2.6184871495327102,1.7448014018691589,3.7360397196261683
144,00:00:07.200,4.7116530373831775,5.160747663551402,2.2623247663551402,6.711886682242991
145,00:00:07.250,2.885484813084112,2.8906834112149533,1.7582067757009345,4.007564252336449
146,00:00:07.300,2.622877725856698,2.5820969626168226,1.6454731308411215,3.6410630841121496
147,00:00:07.350,2.5697235202492212,2.554731308411215,1.596641355140187,3.5577978971962616
148,00:00:07.400,2.695502336448598,2.5668808411214954,1.730928738317757,3.788697429906542
149,00:00:07.450,2.5569996105919004,2.5302278037383177,1.6008177570093458,3.5399532710280375
150,00:00:07.500,2.483265186915888,2.416588785046729,1.517698598130841,3.5155081775700934
151,00:00:07.550,2.590858644859813,2.4863901869158878,1.5960280373831777,3.6901577102803738
152,00:00:07.600,2.659647585669782,2.5783294392523364,1.6501460280373832,3.750467289719626
153,00:00:07.650,2.664291277258567,2.490157710280374,1.7078271028037384,3.7948890186915887
154,00:00:07.700,2.7333138629283487,2.6355432242990653,1.8567172897196262,3.7076810747663553
155,00:00:07.750,2.7114778037383176,2.618136682242991,1.7738025700934579,3.742494158878505
156,00:00:07.800,4.887334501557633,5.7285630841121495,2.382943925233645,6.550496495327103
157,00:00:07.850,4.031892523364486,3.6948306074766357,2.661214953271028,5.739632009345795
158,00:00:07.900,4.060426401869159,3.3946845794392524,3.334667056074766,5.451927570093458
159,00:00:07.950,3.90251168224299,3.222283878504673,3.15035046728972,5.334900700934579
160,00:00:08.000,3.592795950155763,3.0045560747663553,2.8773656542056076,4.896466121495327
161,00:00:08.050,3.1410728193146418,2.802132009345794,2.3907126168224297,4.230373831775701
162,00:00:08.100,3.2337130062305293,2.7384929906542057,2.5757593457943924,4.386886682242991
163,00:00:08.150,3.2828173676012464,2.7759053738317756,2.7272780373831775,4.345268691588785
164,00:00:08.200,3.4664524922118383,2.878855140186916,2.7466705607476634,4.773831775700935
165,00:00:08.250,3.4353679906542056,2.7610981308411215,2.763463785046729,4.781542056074766
